Code_commune_INSEE,Nom_commune,Code_postal
69040,CHAMPAGNE AU MONT D OR,69410
08386,ST LOUP EN CHAMPAGNE,08300
69049,CHASSELAY,69380
08392,ST MOREL,08400
69071,CURIS AU MONT D OR,69250
08406,SAVIGNY SUR AISNE,08400
69077,DRACE,69220
08411,SEMUY,08130
69081,ECULLY,69130
08419,SIGNY L ABBAYE,08460
69082,EMERINGES,69840
69086,FLEURIEUX SUR L ARBRESLE,69210
69087,FONTAINES ST MARTIN,69270
69090,FRONTENAS,69620
69098,LES HALLES,69610
69099,HAUTE RIVOIRE,69610
69106,LACHASSAGNE,69480
69110,LARAJASSE,69590
69117,LISSIEU,69380
69122,LUCENAY,69480
69130,MEAUX LA MONTAGNE,69550
69135,DEUX GROSNES,69860
69135,DEUX GROSNES,69860
69136,MONTAGNY,69700
69155,POMEYS,69590
69156,POMMIERS,69480
69160,POULE LES ECHARMEAUX,69870
69161,PROPIERES,69790
69165,REGNIE DURETTE,69430
69168,ROCHETAILLEE SUR SAONE,69270
69170,RONTALON,69510
69176,SOUCIEU EN JARREST,69510
69177,SOURCIEUX LES MINES,69210
69181,ST APPOLINAIRE,69170
69193,ST CYR SUR LE RHONE,69560
69215,ST JULIEN,69640
69228,CHABANIERE,69440
69234,ST ROMAIN DE POPEY,69490
69236,ST ROMAIN EN GIER,69700
69246,THEIZE,69620
69248,THIZY LES BOURGS,69240
69248,THIZY LES BOURGS,69240
69255,VAUGNERAY,69670
69255,VAUGNERAY,69670
69259,VENISSIEUX,69200
69270,CHAPONNAY,69970
69280,JONS,69330
69281,MARENNES,69970
69286,RILLIEUX LA PAPE,69140
69287,ST BONNET DE MURE,69720
69289,ST PIERRE DE CHANDIEU,69780
69290,ST PRIEST,69800
69292,SATHONAY CAMP,69580
69293,SATHONAY VILLAGE,69580
69298,TOUSSIEU,69780
69387,LYON 07,69007
69389,LYON 09,69009
70003,ACHEY,70180
70011,AMAGE,70280
70015,AMONCOURT,70170
70017,ANCHENONCOURT ET CHAZEL,70210
70021,ANDORNAY,70200
70039,AUTOREILLE,70700
70041,AUTREY LES GRAY,70100
70043,AUVET ET LA CHAPELOTTE,70100
70045,AVRIGNEY VIREY,70150
70048,BARD LES PESMES,70140
70054,BATTRANS,70100
70057,BAY,70150
70060,BEAUMOTTE LES PIN,70150
70064,BELVERNE,70400
70069,BETONCOURT ST PANCRAS,70210
70074,BLONDEFONTAINE,70500
70075,BONBOILLON,70150
70085,BOULT,70190
70090,BOURSIERES,70000
70095,BREUREY LES FAVERNEY,70160
08420,SIGNY LE PETIT,08380
08428,SORCY BAUTHEMONT,08270
08436,TAILLETTE,08230
08437,TAILLY,08240
08440,TARZY,08380
08445,THELONNE,08350
08446,THENORGUES,08240
08457,TOURNES,08090
08463,VAUX EN DIEULET,08240
08465,VAUX LES RUBIGNY,08220
08469,VENDRESSE,08160
08469,VENDRESSE,08160
08471,VERRIERES,08390
08472,VIEL ST REMY,08270
08473,VIEUX LES ASFELD,08190
08479,VILLERS LE TOURNEUR,08430
08481,VILLERS SUR BAR,08350
08485,VILLY,08370
08490,VOUZIERS,08400
08491,VRIGNE AUX BOIS,08330
08494,WADELINCOURT,08200
09002,AIGUES VIVES,09600
09003,L AIGUILLON,09300
09005,ALEU,09320
09006,ALLIAT,09400
09019,ARTIGAT,09130
09031,AXIAT,09250
09032,AX LES THERMES,09110
09039,LA BASTIDE DE BOUSIGNAC,09500
09041,LA BASTIDE DU SALAT,09160
09045,BEDEILHAC ET AYNAT,09400
09062,BORDES UCHENTEIN,09800
